Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL GOLD MAX AZUL CÉU C/1,22 IMPRIMAX",IP52,UN,30,0,19.5,18.73,servi
"VINIL GOLD MAX AZUL MARINHO C/1,22 IMPRIMAX",IP589,UN,30,0,74.0,18.19,servi
VINIL GOLD MAX AZUL MARINHO C/61 IMPRIMAX,IP1199,UN,15,0,102.5,8.87,servi
"VINIL GOLD MAX AZUL NOTURNO C/1,22 IMPRIMAX",IP955,UN,30,0,55.5,18.86,servi
"VINIL GOLD MAX AZUL RECIFE C/1,22 IMPRIMAX",IP1683,UN,30,0,32.0,19,servi
"VINIL GOLD MAX AZUL RIVIERA C/1,22 IMPRIMAX",IP358,UN,30,0,90.0,18.16,servi
"VINIL GOLD MAX BRANCO C/1,22 IMPRIMAX",IP835,UN,30,0,90.0,17.22,servi
"VINIL GOLD MAX CHOCOLATE C/1,22 IMPRIMAX",IP165,UN,30,0,18.7,17.92,servi
"VINIL GOLD MAX CINZA CLARO C/1,22 IMPRIMAX",IP1684,UN,30,0,17.5,17.73,servi
"VINIL GOLD MAX CINZA ESCURO C/1,22 IMPRIMAX",IP1129,UN,30,0,60.5,20.17,servi
"VINIL GOLD MAX CINZA MEDIO C/1,22 IMPRIMAX",IP429,UN,30,0,20.5,17.92,servi
"VINIL GOLD MAX GRAFITE FOSCO C/1,22 IMPRIMAX",IP879,UN,32,0,61.5,20.99,servi
VINIL GOLD MAX GRAFITE FOSCO C/61 CM IMPRIMAX,IP889,UN,16.5,0,62.0,9.73,servi
"VINIL GOLD MAX LARANJA C/1,22 IMPRIMAX",IP857,UN,30,0,29.0,18.7,servi
"VINIL GOLD MAX OURO C/1,22 IMPRIMAX",IP375,UN,32.5,0,23.0,18.2,servi
"VINIL GOLD MAX PEDRAS MARMORE CALACATTA C/ 61,00",IP1146,UN,25,0,50.0,17.8,servi
"VINIL GOLD MAX PINK C/1,22 IMPRIMAX",IP890,UN,30,0,44.5,18.1,servi
"VINIL GOLD MAX PRATA C/1,22 IMPRIMAX",IP1344,UN,32.5,0,42.5,18.16,servi
VINIL GOLD MAX PRATA C/61 CM IMPRIMAX,IP901,UN,15,0,0.0,7.36,servi
"VINIL GOLD MAX PRETO BRILHANTE C/1,22 CM IMPRIMAX",IP216,UN,28.13,0,167.5,16.82,servi
"VINIL GOLD MAX PRETO BRILHO C/61,00 IMPRIMAX",IP982,UN,13.5,0,241.5,8.62,servi
"VINIL GOLD MAX PRETO FOSCO C/1,22 IMPRIMAX",IP546,UN,28.13,0,180.5,17.19,servi
"VINIL GOLD MAX PRETO FOSCO C/1,40 IMPRIMAX",IP166,UN,35,0,79.0,23.14,servi
"VINIL GOLD MAX TERRACOTA 1,22 IMPRIMAX",IP922,UN,32,0,34.5,18.78,servi
